Region,Victims,VictimsCount
South-West Europe,Men,827
South-West Europe,Women,2506
South-West Europe,Girls,819
South-West Europe,Boys,304
Central  & South-East Europe,Men,339
Central  & South-East Europe,Women,860
Central  & South-East Europe,Girls,372
Central  & South-East Europe,Boys,30
Western and Central Europe,Men,1166
Western and Central Europe,Women,3366
Western and Central Europe,Girls,1191
Western and Central Europe,Boys,334
Eastern Europe,Men,109
Eastern Europe,Women,283
Eastern Europe,Girls,33
Eastern Europe,Boys,6
Eastern Europe and Central Asia,Men,883
Eastern Europe and Central Asia,Women,665
Eastern Europe and Central Asia,Girls,80
Eastern Europe and Central Asia,Boys,31
South Asia,Men,0
South Asia,Women,199
South Asia,Girls,0
South Asia,Boys,0
East Asia and the Pacific,Men,266
East Asia and the Pacific,Women,829
East Asia and the Pacific,Girls,427
East Asia and the Pacific,Boys,89
South/East Asia and the Pacific,Men,266
South/East Asia and the Pacific,Women,1028
South/East Asia and the Pacific,Girls,427
South/East Asia and the Pacific,Boys,89
South America,Men,387
South America,Women,1131
South America,Girls,720
South America,Boys,268
Caribbean,Men,81
Caribbean,Women,136
Caribbean,Girls,260
Caribbean,Boys,35
North America,Men,753
North America,Women,2203
North America,Girls,626
North America,Boys,67
Americas,Men,1221
Americas,Women,3470
Americas,Girls,1606
Americas,Boys,370
Africa and the Middle East,Men,216
Africa and the Middle East,Women,459
Africa and the Middle East,Girls,349
Africa and the Middle East,Boys,535
Sub-Saharan Africa,Men,110
Sub-Saharan Africa,Women,341
Sub-Saharan Africa,Girls,307
Sub-Saharan Africa,Boys,487
North Africa and the Middle East,Men,106
North Africa and the Middle East,Women,118
North Africa and the Middle East,Girls,42
North Africa and the Middle East,Boys,48
